Level,Text
A2,"Hay un conejo que se llama Buck. Buck un conejo enorme vive en el bosque solo y su casa es un árbol grande. A Buck le gusta dormir en la mañana dentro del árbol grande. Siempre duerme en la noche y en la mañana. A él le gusta oler las flores bonitas del bosque. Hay muchas flores coloridas en el bosque. La cosa favorita de Buck es comer la fruta del bosque como manzanas peras y melones.
Buck no tiene familia pero es un conejo alegre. Él es amoroso con los otros animales del bosque y quiere hacer muchos amigos. Hay muchas mariposas coloridas en el bosque y son las buenas amigas de Buck. A los otros animales del bosque les gusta Buck; excepto los roedores.
Los roedores son el animal más cruel del bosque. Todos los animales del bosque son buenos excepto los roedores. En el bosque hay tres roedores malvados. A los roedores no les gustan los otros animales. El roedor pequeño  que se llama Jefe quiere hacer cosas malas a los otros animales del bosque; incluso Buck."
A2,"En este episodio vamos a escuchar a dos amigos que después de varios años se encuentran por la calle.
Os dejamos la transcripción del diálogo:
Jorge: ¿Isabel?
Isabel:¿Jorge? ¡Jorge cuanto tiempo! Dame dos besos.
Jorge: ¡Qué casualidad! ¿Qué haces por Madrid? ¿Estás viviendo aquí?
Isabel: Pues.. más o menos estoy haciendo un curso de secretariado comencé hace dos meses mi intención es terminarlo y buscar trabajo para quedarme a vivir por aquí. Bueno… ¿y tú que estás haciendo por Madrid?
Jorge: Me trasladé ya hace 6 años para trabajar como ingeniero después de terminar la universidad en Barcelona. Dio la casualidad de que buscaban a alguien de mi perfil en Madrid y no me lo pensé dos veces para venir aquí. Lo que sí me parece extraño es que en una ciudad tan grande nos hayamos podido encontrar después de tantísimos años sin vernos.
Isabel: Ufff cierto desde el instituto. De eso ya hace… 16 años pero no había vuelto a saber nada de ti. Cuando todo el grupo de amigos comenzamos los estudios superiores fuimos perdiendo el contacto poco a poco y finalmente fueron pasando los años sin saber nada los unos de los otros. Con lo unidos que estábamos en los últimos años de instituto… ¿Te acuerdas de lo bien que nos los pasábamos los fines de semana?
Jorge: Ja ja como no me voy a acordar fueron los mejores años sin preocupaciones y viviendo la vida a tope. ¡Qué grandes recuerdos! Únicamente tengo contacto con Rocío puesto que su hermano se llegó a casar con mi prima y nunca llegamos a perder la comunicación. ¿Sabes?…¡tiene dos hijos! Un niño y una niña.
Isabel: ¡No me digas! Qué bien me alegro mucho por ella. Adoraba a los niños.
Jorge: Pues sí siempre soñaba con el día de su boda y con tener familia. Y bueno.. ¿tú te llegaste a casar con Alberto?
Isabel: No finalmente él se trasladó a México pero yo decidí quedarme en España.
Jorge: Vaya lo siento Isabel me tengo que ir al trabajo que si no voy a llegar tarde. ¿Por qué no me das tu número de teléfono y quedamos otro día para continuar la conversación?
Isabel: Sí estupendo. Espera que te lo anoto en un papel….umm. Aquí tienes.. Espero volverte a ver pronto.
Jorge: Yo también. Me alegro mucho de haberte visto. Hasta luego Isabel.
Isabel: Hasta luego Jorge que pases un buen día."
A2,"UN HOMBRE INSACIABLE
En Extremadura vivía un hombre. El hombre era rico. Era muy rico. Tenía casas y viñas vacas y ovejas caballos y cerdos. Las casas eran grandes y nuevas. Las viñas tenían muchas uvas. Las vacas las ovejas y los cerdos estaban muy gordos. Los caballos eran los más hermosos de Extremadura.
El hombre tenía todavía más. Tenía una buena mujer y buenos hijos. Tenía todo lo que podía desear; pero el hombre no estaba satisfecho. No estaba satisfecho con Dios ni con su mujer ni con sus hijos. Tampoco estaba satisfecho del tiempo.
Cuando hacía frío decía:—Hace frío; este tiempo no es bueno para mis viñas.
Cuando llovía exclamaba:—Llueve demasiado; el tiempo está muy húmedo. Debemos tener sol.
Cuando hacía sol tampoco estaba satisfecho. Hoy hacía mucho frío mañana mucho calor; ora el tiempo era muy húmedo ora muy seco.
Un día entró en su viña. Allí estaban las hermosas uvas. Tenía más uvas que todas las otras personas de Extremadura; pero no estaba satisfecho.—Estas uvas son muy pequeñas—dijo.—Hace mal tiempo; hace mucho frío. No hace bastante calor.
En este momento se presentó en la viña un hombre alto y hermoso. Este hombre dijo:—Nunca está Vd. satisfecho del tiempo. Siempre hace frío o calor es muy húmedo o muy seco. ¿Puede Vd. hacer un tiempo mejor?—Sí—respondió el hombre rico—yo puedo hacer mejor tiempo.—Pues bien—dijo el extranjero—el año que viene debe Vd. hacer el tiempo para sus viñas.
Entonces el extranjero desapareció.
El año próximo llegó. Era el mes de marzo.—Quiero nieve—dijo el hombre rico. Entonces empezó a nevar. Llegó el mes de abril.—Ahora quiero lluvia—dijo el hombre rico. Entonces empezó a llover.—Muy bien—dijo el hombre—pero ahora quiero un tiempo caluroso. Entonces hacía sol y el hombre estaba satisfecho con sus viñas y con el tiempo.
Así el hombre hacía el tiempo todo el verano. Llovía cuando quería y hacía sol cuando quería. Tenía en la viña muchas hermosas uvas. Entonces dijo:—Mis uvas son las más hermosas de Extremadura. Nunca he visto uvas tan hermosas.
Al fin llegó el otoño y empezó la vendimia. El hombre cogió algunas uvas pero eran ácidas como el vinagre. Nunca había visto uvas tan agrias. En este momento llegó el extranjero.—Este año—dijo—hace Vd. el tiempo. ¿Cómo encuentra las uvas?—Malas muy malas—respondió el hombre rico—son ácidas como el vinagre.
Entonces dijo el extranjero—Ya lo comprendo. Vd. ha dado a la viña nieve lluvia sol calor y frío pero ha olvidado el viento."
A2,"EL TESTAMENTO
Cierto lugareño estaba a punto de morir. No era muy rico. Sólo tenía un perro y un caballo. No tenía hijos pero tenía una mujer.
Poco antes de morir llamó a su mujer y le dijo:
—Ya sabes que voy a morir. No te he olvidado en mi testamento; pero no soy rico y no tengo más bienes que un perro y un caballo.
—Yo apreciaré tu recuerdo marido mío—dijo la mujer llorando.
—Después de mi muerte—continuó el marido—debes vender el caballo y entregar el dinero a mis parientes.
—¡Cómo! ¿debo entregar el dinero a tus parientes?
—Sí; pero espera. Te regalo generosamente el perro. Puedes venderlo si quieres o puedes conservarlo para guardar la casa. Es un animal fiel. Te servirá de gran consuelo.
El lugareño se murió. La mujer quería obedecer a su marido. Una mañana cogió el caballo y el perro y los llevó a la feria.
—¿Cuánto quiere Vd. por ese caballo? preguntó un hombre.
—Quiero vender el caballo y el perro juntos—respondió la mujer.—Quiero por el perro cien duros y por el caballo diez reales.
—Acepto—dijo el hombre—porque el precio de los dos juntos es razonable.
La buena mujer dió a los parientes de su marido los diez reales que recibió por el caballo y conservó los cien duros que recibió por el perro. Así obedeció a su marido."
A2,"Después del reencuentro Isabel y Jorge quedan por teléfono para ir a tomar un café con amigos.
(Ruido de llamada)
Isabel: (Coge el teléfono) ¿Diga?
Jorge: Hola ¿puedo hablar con Isabel? por favor.
Isabel: Sí soy yo. ¿Quién es?
Jorge: Hola Isabel soy Jorge tu antiguo compañero del instituto ¿te acuerdas?
Isabel: Ahhh sí hola Jorge no había reconocido tu voz por teléfono. ¿Qué tal estás?
Jorge: Bien. Te he llamado porque he quedado con unos amigos para tomar un café esta tarde y he pensado que podías venir con nosotros ¿Te apetece?
Isabel: Pues sí. ¿A qué hora habéis quedado? Es que esta tarde tengo clase en la academia y no sé si me va a dar tiempo a quedar con vosotros.
Jorge: Hemos quedado a las 6 y media de la tarde.
Isabel: Bien estupendo. Salgo de clase a las 6 de la tarde así que me da tiempo a llegar. ¿En qué cafetería habéis quedado?
Jorge: En una cafetería que se llama Sándalo es un sitio en el que hacen unos cafés buenísimos y de muchísimas variedades. Está en la calle Preciados cerca de la Plaza Puerta del Sol. ¿La conoces?
Isabel: Pues la verdad es que no. Por esa zona no suelo pasar a menudo pero no te preocupes que la acabaré encontrando.
Jorge: Si quieres podemos quedar en la Plaza Puerta del Sol a las 6:15 y vamos juntos a la cafetería. De esta manera no tendrás que buscarla.
Isabel: Vale está bien . Allí nos vemos entonces a las 6:15 en la Plaza Puerta del Sol.
Jorge: Exacto. Luego nos vemos Isabel que pases un buen día.
Isabel: Muchas gracias Jorge. Igualmente. Hasta luego.
Jorge: Hasta luego.
Quedar con alguien

Bueno hemos escuchado decir a Isabel y a Jorge en varias ocasiones frases que contenían el verbo “quedar”. Vamos a volverlo a escuchar una de las frases.
Bien te he llamado porque he quedado con unos amigos para tomar un café esta tarde y he pensado que podías venir con nosotros ¿te apetece?
Bien por lo general el verbo “quedar” significa “estar” o “permanecer” pero su uso se hace flexible teniendo varios significados dependiendo del contexto.
Por ejemplo en la frase que dice Jorge: “Podemos quedar en la plaza Puerta del Sol” en este sentido “quedar” significa “concertar una cita o un encuentro con una persona o personas”.
“Voy a quedar con unos amigos” es como decir: “Voy a ver a unos amigos” “Voy a estar con unos amigos”. Significa que se hace planes con los amigos o que se va a salir fuera con unos amigos para pasar un rato juntos."
A2,"LOS TRES BARCOS
Cierto hombre rico tenía tres hijos. El hijo mayor no quería quedarse en casa; quería ver el mundo. Su padre dió su consentimiento. Una mañana salió el joven de la casa de su padre. El padre le dió su bendición. También le regaló mucho dinero y un barco de oro. El joven se metió en el barco y se marchó. Llegó a una ciudad y fue a una posada. Los mozos de la posada pusieron el barco en una sala cerca de su alcoba. Entonces el joven salió a ver la ciudad.
Cuando pasó por el palacio vio un letrero en la puerta que decía:
—Dentro del palacio está escondida la hija del rey. El que la encuentre puede casarse con ella.
Él entró para buscarla; pero el rey le dijo que si no podía encontrarla dentro de tres días sería encerrado en el palacio. Él la buscó pero no podía encontrarla y le encerraron en un cuarto del palacio.
Como el hijo mayor no volvió a casa el segundo hijo salió a buscarle. Su padre le dió su bendición y le regaló un barco de plata. Se metió en el barco y se marchó. Después de algunos días llegó a la misma ciudad y a la misma posada que su hermano. Los mozos de la posada pusieron el barco de plata en la misma sala con el barco de oro. Vio el joven el barco de oro y conoció que su hermano estaba en la ciudad.
Salió a ver la ciudad pasó por el palacio y vio el letrero en la puerta. Entró para buscar a la princesa. El rey dijo que allí estaba un joven encerrado porque no podía encontrarla. La misma suerte le esperaba si no podía encontrarla dentro de tres días. Él se decidió a buscarla pero tampoco la halló y le encerraron.
Como los dos hijos no volvieron a casa el hijo menor quería ir a buscarlos. Su padre le dió su bendición y le regaló un barco de seda. Se metió en el barco y se marchó. Llegó a la misma ciudad y a la misma posada que sus hermanos. Los mozos pusieron su barco con los otros dos. Cuando vio el barco de oro y el de plata conoció que sus hermanos estaban en la ciudad.
También salió este joven a ver la ciudad. Vio el letrero en la puerta del palacio del rey. Se sentó en una piedra cerca de la puerta pensando si entraría o no. Después de algunos momentos se presentó una vieja que ofreció ayudarle. Ella preguntó si era rico. El contestó que tenía tres barcos uno de oro uno de plata y otro de seda. La vieja respondió:—
Debe Vd. mandar hacer un loro grande de oro con peana de plata. En vez de ojos debe tener agujeros.
Colocóse este hermoso pájaro de oro y plata cerca del palacio. Cuando lo vio el rey quería examinarlo. Lo llevaron seis hombres al palacio. Le gustó mucho al rey este loro grande y creía que también gustaría a su hija. Por eso dijo a los seis hombres que llevasen el pájaro a la princesa. El joven que estaba dentro del loro miraba por los agujeros que tenía en vez de ojos. Él notó que levantaron una baldosa detrás de una cama; que bajaron una escalera; que llegaron a un patio; que abrieron la entrada a otra escalera; que bajaron ésta y llegaron a otro patio; que abrieron una puerta y allí estaba la princesa con dos compañeras. Las tres jóvenes estaban vestidas de la misma manera. Los seis hombres pusieron el loro en la alcoba de la princesa. Durante la noche el joven tenía sed y salió del loro para beber. Cuando cogió el vaso de agua tocó la mano de la princesa que también tenía sed. La princesa estaba muy asustada pero el joven le dijo que iba a librarla de aquel encierro. Ella se tranquilizó y le dijo que llevaría en el dedo una cinta roja. Como sus compañeras tendrían cintas azules él la conocería de esta manera.
Por la mañana sacaron el loro. Entonces el joven se presentó en el palacio para buscar a la princesa. El rey le dijo que era necesario encontrarla dentro de tres días. Si no podía hacer esto le encerrarían con sus dos hermanos. Él insistió en entrar y comenzó a buscar. El primer día fingió no poder encontrarla. El segundo día sucedió lo mismo. El tercer día levantó la baldosa detrás de la cama bajó la escalera llegó al patio abrió la entrada a la otra escalera la bajó y llegó al otro patio abrió la puerta y vio las tres jóvenes. El rey creía que no le era posible reconocer a la princesa entre sus compañeras. Pero él la escogió porque vio la cinta roja en su dedo. Entonces el rey dijo:
—No tengo más remedio que darle mi hija por esposa porque la ha encontrado Vd. dentro de tres días.
El rey puso en libertad a los dos hermanos del joven. Éste envió por su padre y con mucho regocijo se celebraron las bodas del hijo menor con la hermosa princesa."
A2,"DON JUAN BOLONDRÓN
Una vez había un pobre zapatero llamado Juan Bolondrón. Un día estaba sentado en un banco tomando una taza de leche. Había varias moscas en el banco cerca de algunas gotas de leche. Don Juan mató siete de ellas de un golpe. Entonces gritó:
—Yo soy muy valiente y desde hoy me llamo Don Juan Bolondrón Matasiete.
Había cerca de la ciudad un bosque. Dentro del bosque había un jabalí que hacía mucho mal a los habitantes. Ya se había comido a muchos de ellos. El rey había enviado mucha gente para matarlo. Algunos de estos hombres se habían fugado por miedo; el jabalí se había comido a los otros. Dijeron al rey que había en la ciudad un hombre muy valiente que se llamaba Don Juan Bolondrón Matasiete.
—¡Oh!—dijo el rey.—Debo conocer a este hombre. Díganle que venga al palacio al instante.
Le llevaron al palacio y cuando le vio el rey le dijo:
—Hombre dicen que eres muy valiente. ¿Es verdad que matas siete de un golpe?
—Sí Vuestra Majestad;—le contestó.
—Pues bien—le dijo el rey—Tengo una hija muy bonita y te la doy por esposa si matas el jabalí que hace tanto mal a los habitantes de la ciudad. ¿Tienes bastante valor?
—Sí Vuestra Majestad—respondió el zapatero.
—Está bien; pero si no lo matas perderás la cabeza.
Al día siguiente Don Juan Bolondrón se preparó bien y salió a buscar el jabalí. Estaba tiritando de miedo. Era bastante valiente para matar moscas pero no para matar jabalíes. Este día el jabalí era más feroz que nunca porque en tres días no había comido nada. Juan empezó a pensar en el mejor modo de matar el animal. Creía que era muy probable que el animal le matara a él. Nunca había tenido en las manos más armas que las de su zapatería. Cuando llegó al bosque salió el jabalí furioso de rabia y de hambre. Cuando Don Juan lo vio empezó a correr en la dirección del palacio y tras él el jabalí. Don Juan llegó al palacio y se metió detrás de la puerta de la calle. El jabalí entró en el patio donde fue matado por los soldados del rey. En este momento Don Juan corrió al patio con la espada en mano. Reprendió a los soldados por haber matado el animal. Después fue derecha al rey que había salido para saber la causa del ruido.
—¿Qué es esto Don Juan?—preguntó el rey.
—Vuestra Majestad—respondió Don Juan—no he querido matar el jabalí; he querido traerlo vivo al palacio; pero esos soldados lo han matado cobardemente.
—Eres muy valiente Don Juan y mereces por esposa la princesa mi hija.
Le dieron un cuarto en el palacio y después de algunos días se celebraron las bodas. La princesa no sabía que se casaba con un pobre zapatero.
Pensaba Don Juan muchas veces en las miserias de su vida pasada y hacía comparación con su dicha presente. En consecuencia de esto una noche soñó con su zapatería y habló de sus hormas y de su lesna.
La princesa oyó estas palabras y estaba muy triste. Creía que tal vez se había casado con un zapatero. Al día siguiente fue a su padre y le dijo:
—Señor padre tal vez me he casado con un zapatero porque anoche en sueños ha hablado de sus hormas y de su lesna.
El rey llamó a su presencia a Don Juan Bolondrón Matasiete y le preguntó:"
A2,"LOS TRES OSOS
Cerca de un bosque hermoso vivían tres osos. Estos osos eran muy buenos y amables. Habían construido una 5 casa cómoda solamente con una puerta y una ventana. Uno de los osos era muy pequeño uno de tamaño mediano y el otro muy grande.
Tenían en la casa todo lo necesario. Tenían un plato pequeño para el oso pequeño un plato mediano para el oso 10 mediano y un plato grande para el oso grande. Tenían una silla pequeña para el oso pequeño una silla mediana para el oso mediano y una silla grande para el oso grande. Tenían una cama pequeña para el oso pequeño una cama mediana para el oso mediano y una cama grande para el oso grande. 15 Y esto era todo.
Una mañana tenían sopa para el almuerzo. Echaron la sopa en los platos. Pero la sopa estaba tan caliente que no podían tocarla con la lengua. Los osos como Vds. saben no emplean ni cucharas ni cuchillos ni tenedores. Los platos 20 de sopa estaban en el suelo porque los osos no emplean mesas.
—Vamos a dar un paseo—dijo el oso grande;—y cuando volvamos podemos tomar la sopa.
Los osos tenían hambre mucha hambre pero eran muy pacientes y salieron todos a dar un paseo por el bosque; primero 25 el oso grande después el oso mediano y por último el oso pequeño.
Poco después entró una niña en el bosque. Vio la pequeña casa pero no sabía de quién era. Pensaba que la casa era muy hermosa y quería entrar para verla. Así llamó a la 30 puerta.
Nadie respondió. Ella creía que todas las personas de la casa estaban dormidas. Llamó otra vez pero nadie respondió. Ahora creía la niña que nadie estaba en la casa. Abrió la puerta y entró. Todo parecía tan cómodo que quería quedarse allí algunos minutos. Estaba muy cansada y 35 quería descansar.
Vio la niña los tres platos en el suelo. Tenía mucha hambre y quería probar la sopa. Probó la sopa que estaba en el plato grande. Estaba muy fría. Entonces probó la sopa que estaba en el plato mediano; pero estaba muy caliente. Entonces 40 probó la sopa que estaba en el plato pequeño y le gustó tanto que se la tomó toda.
Al otro lado del cuarto estaban las tres sillas. La niña quería descansar antes de ir a casa.
Primero probó la silla grande; pero era muy alta. Después 45 probó la silla mediana; pero era muy ancha. Por último probó la silla pequeña; pero al sentarse en ella la hizo pedazos.
Luego vio las camas en la alcoba y quería dormir la siesta antes de ir a casa.
Primero probó la cama grande; pero era demasiado 50 blanda. Después probó la cama mediana; pero era demasiado dura. Por último probó la cama pequeña y como era muy cómoda y le gustó se echó en ella y se durmió.
Mientras dormía los tres osos volvieron a casa. Tenían hambre después de su paseo y querían tomar la sopa. El oso 55 grande levantó su plato y bramó:
—¡Alguien ha probado mi sopa!
Entonces el oso mediano levantó su plato y gruñó:
—¡Alguien ha probado mi sopa también!
Por último el oso pequeño levantó su plato y gritó: 60
—¡Alguien ha probado mi sopa y se la ha tomado!
Entonces fueron todos al otro lado del cuarto a sentarse en sus sillas. Primero el oso grande probó su silla y bramó:"
A2,"El Chocolate
Hoy es miércoles. Es el cumpleaños de Bruno. El tiene diez años. La madre de Bruno se llama Maria. Ella dice “Feliz cumpleaños Bruno!”
Pero Bruno responde “No es feliz.. es un mal dia.” Maria dice”Por que es malo? Es tu cumpleaños! Tienes diez años hoy!”
“Si gracias pero estoy muy enfermo!”
“Quieres ir al doctora?”
“Por favor no! No me gusta la oficina de doctor.”
“Bueno iré a la tienda y compraré un medicamento para ti.”
Maria va a la tienda. Primero ella compra un gran pastel de chocolate para Bruno luego compra la medicina. El cajero dice “Hola señora treinta dólares por favor.”
Maria busca en su cartera. “Oh no yo solo tengo veinticinco dólares. Por favor mi hijo está enfermo.”
El cajero responde “Lo siento. Si no tienes dinero no tendrás pastel y no medicina para ti.”
Maria grita “Pero es el cumpleaños de mi hijo!”
“Señora él no es mi hijo no es mi problema. Tu necesitas mas dinero!”
Marita se pusa triste. Finalmente ella compra el pastel y se fue a casa.
“Feliz cumpleaños bruno! Te gusta el chocolate verdad?”
Pero Bruno estaba muerto.
El fin"
A2,"How do we say Goof around in Spanish? Learn the meaning of hacer el ganso. Jorge has a bandaged ankle! Learn Spanish improve your listening and speaking skills with us! Transcript:
Isabel: Pero… ¿Jorge qué te ha pasado? Tienes el pie vendado.
Jorge: Ya ves un pequeño accidente que tuve el pasado domingo. Una torcedura de tobillo ni más ni menos.
Isabel: ¿El domingo? ¿Cuándo fuiste a la montaña el pasado fin de semana?
Jorge: Efectivamente. Por lo menos no me puedo quejar porque la torcedura me la hice la misma tarde del domingo que volvíamos así que pude aprovechar el resto del fin de semana.
Isabel: Vaya. ¿Y cómo fue? ¿No habrá sido mientras hacías el ganso no?
Jorge: No no para nada. Todo fue por un despiste. Resulta que después de comer a cosa de las 3 de la tarde mis amigos y yo pensamos que era una buena idea dar un último paseo por la montaña antes de tomar camino para ir a Madrid.
Yo iba tan entusiasmado viendo el paisaje que no me di cuenta y metí el pie en un pequeño agujero que había en el camino apoyé el pie mal y me torcí el tobillo.
Isabel: Umm Yo  tuve hace un tiempo una torcedura parecida a la tuya y hasta que no pasaron unos días no se me pasó el dolor. ¿Te duele mucho?
Jorge: Ahora no me duele tanto como en el momento en el que me torcí el tobillo. Fue quitarme el calzado y el calcetín y ya tenía el pie hinchado.
Isabel: Sí tuviste que pasarlo mal. ¿Has ido ya al médico no? Eso te lo tienen que examinar con cuidado.
Jorge: Sí sí ya he ido esta mañana y  el médico me ha dicho que no es nada grave pero que tengo que estar por lo menos 5 días en reposo sin forzar demasiado el pie.
Isabel: Bueno menos mal que no tienes nada grave. Jorge ya sabes que si necesitas algo no tienes más que pedírmelo. ¿Necesitas algo?
Jorge: Ahora que lo dices… ¿podrías hacerme el favor de ir a la farmacia?. El médico me ha dicho que tengo que darme una pomada para que me alivie el dolor y ahora tal como estoy no puedo apoyar el pie.
Isabel: Sí claro por supuesto. De camino a casa paso por una farmacia que esté abierta y te la compro. Esta tarde sin falta te la llevo a tu apartamento a ver si así te duele un poco menos y te va mejorando. ¿Tienes ahí el nombre de la pomada?
Jorge: Sí tengo el nombre escrito en este papel que me dio el médico. Toma. Lo malo es que no podré visitar la exposición de cuadros a la que fuiste el otro día.
Isabel: No te preocupes por ello. La exposición estará abierta por lo menos hasta finales de mes así que te dará tiempo a recuperarte del todo y a verla sin problemas. Mira te voy a dar un impreso que cogí el otro día en el museo con la información de los cuadros.
Jorge: Bien voy a echarle un vistazo. Gracias Isabel.
En español este animal es un ganso
Habéis escuchado la expresión “Hacer el ganso”. Lo escuchamos de nuevo:
Vaya. ¿Y cómo fue? ¿No habrá sido mientras hacías el ganso no?
“Hacer el ganso” es una expresión bastante coloquial que utilizamos en España para indicar que una persona hace o dice tonterías bien para hacer reír a los demás o simplemente como manera para llamar la atención."
