Level,Text
B2,"Había una vez una familia de ratones que vivía en la despensa de una casa pero temiendo siempre los ataques de un enorme gato los ratones no querían salir. Ya fuera de día o de noche este terrible enemigo los tenía vigilados.
Un buen día decidieron poner fin al problema por lo que celebraron una asamblea a petición del jefe de los ratones que era el más viejo de todos.
El jefe de los ratones dijo a los presentes:
- Os he mandado reunir para que entre todos encontremos una solución. ¡No podemos vivir así!
- ¡Pido la palabra! - Dijo un ratoncillo muy atento. Atemos un cascabel al gato y así sabremos en todo momento por dónde anda. El sonido nos pondrá en alerta y podremos escapar a tiempo.
Tan interesante propuesta fue aceptada por todos los roedores entre grandes aplausos y felicidad. Con el cascabel estarían salvados porque su campanilleo avisaría de la llegada del enemigo con el tiempo para ponerse a salvo.
- ¡Silencio! – Gritó el ratón jefe para luego decir: Queda pendiente una cuestión importante: ¿Quién de todos le pondrá el cascabel al gato?
Al oír esto los ratoncitos se quedaron repentinamente callados muy callados porque no podían contestar a aquella pregunta. De pronto todos comenzaron a sentir miedo. Y todos absolutamente todos corrieron de nuevo a sus cuevas hambrientos y tristes."
B2,"Hoy vamos a hablar sobre la felicidad. A veces olvidamos que la felicidad humana no está determinada únicamente por las circunstancias sino que es una disposición de la mente y de la manera en la que vemos las cosas que nos suceden. Lo cierto es que no hay mejor momento para ser felices que el aquí y ahora.
En la autobiografía escrita por Benjamin Franklin el famoso científico inventor y político estadounidense ya dejó escrito que “La felicidad humana no es producto de los grandes acontecimientos de la vida sino de las pequeñas vivencias cotidianas”. La felicidad depende principalmente de nosotros y de cómo interpretamos las cosas que nos suceden.
La vida está siempre llena de retos que nos ponen a prueba no obstante debemos de saber que las adversidades pueden ser superadas con fuerza de voluntad. Lo más importante es pensar en el momento que tienes y aprovecharlo al máximo. Se trata de vivir la vida de otra manera distinta a la que normalmente muchos de nosotros estamos acostumbrados.
La felicidad se puede encontrar de varias maneras dependiendo de la persona y la capacidad para estar abierta a ella. En este episodio os vamos a dar unos pequeños consejos para ser feliz en el día a día.
1. Disfruta de las cosas sencillas y los buenos momentos

No tienes que ver la felicidad como algo inalcanzable. Los pequeños placeres del día a día como salir a tomar un café dar un paseo con alguien agradable tener un hobby o leer un buen libro nos aportan alegría y nos ofrecen buenas dosis de optimismo. Tienes que ir logrando poco a poco tus objetivos pero a la vez disfrutando de lo que tienes.
2. Esfuérzate en lograr lo que quieres.

Cada día tienes la oportunidad para tratar de hacer mejor las cosas e ir logrando gradualmente lo que te has propuesto conseguir. Tener metas y ocuparse en alcanzarlas te ayuda a mantenerte motivado y por lo tanto serás feliz trabajando en ello. Si hay ocasiones en las que las cosas no salen como uno quiere hay que seguir intentándolo y perseverar en nuestros sueños.
3. Aprende de las experiencias negativas

Cuando las cosas no salen como uno espera sólo pensamos en nuestra desgracia y tendemos a envidiar a las personas a las que parece que todo les va bien. Sin embargo debemos aceptar que esas experiencias forman parte de la vida así como también lo forman las buenas experiencias. Hay que recordar que si aprendemos a sacar el lado positivo de las malas experiencias esto nos ayuda a crecer mucho más como personas. Tenemos que aprender a superar lo malo que nos ha ocurrido para salir adelante.
4. Aprende nuevas cosas

Si al comenzar un nuevo día tenemos ganas de hacer nuevas actividades y desarrollamos todo nuestro potencial no habrá nada que nos impida hacer todo los que nos propongamos. Los límites para hacer las cosas que realmente deseamos conseguir los ponen nuestro miedo y nuestra imaginación. Aprender cosas nuevas es fantástico. Te hace sentir bien e incrementa el conocimiento consiguiendo además ser más creativo.
5. Deja de pasar tiempo con personas negativas

Hay gente que está constantemente proyectando su negatividad y pesimismo en los demás. La vida es muy corta como para gastarla con personas que nos roban la energía positiva en tan solo unos minutos de conversación. Es primordial intentar pasar el mayor tiempo posible estando rodeados de personas entusiastas que sacan lo mejor de nosotros."
B2,"Don Pedro Troncoso falleció por COVID-19 a los 96 años
Don Pedro Troncoso tenía 96 años y se dedicaba a la cría de animales principalmente de ovejas en el inhóspito Paraje Yahuincolo que ni siquiera figura en el mapa y tampoco puede ser rastreado por Google Maps. Está ubicado a 70 kilómetros de la ciudad de Las Coloradas al sudoeste de la provincia de Neuquén y la única forma de acceder a este sitio es gracias a las coordenadas de algún lugareño.
En Yahuincolo las casas están hechas con paredes de adobe y techos de chapa. No hay señal de celular y mucho menos conexión a Internet. La posta sanitaria más cercana está a dos horas a pie y allí apenas viven tres familias. Don Pedro era el más longevo y el más querido de esa comunidad rural. Y a pesar de su avanzada edad trabajó hasta el último día que fue internado de urgencia el 7 de octubre.
En ese punto del mapa satelital está ubicado el paraje donde vivía Don Pedro al sudoeste de la ciudad de Neuquén
“Ese día Esteban llamó al hospital de Las Coloradas para informarnos que su papá presentaba problemas respiratorios. Imaginate que para concretar esa comunicación tuvo que caminar hasta una lomita para captar la señal y poder hablar” contó a Infobae el médico Diego Riquelme que fue quien lo asistió en el paraje.
Don Pedro se dedicaba a la cría de ganado y vivía con su hijo su nuera y sus nietos
“Nos subimos a la ambulancia con la enfermera y nos fuimos hasta allá. Por suerte el chofer conocía la zona y cuando escuchó que el apellido del paciente era Troncoso nos llevó directamente hasta la casa de Don Pedro” relató el médico.
Al llegar a Yahuincolo se encontraron con que el anciano estaba postrado en su cama agitado y sin poder respirar. “Estaba en un cuarto chiquito sin ventanas todo oscuro era un lugar cerradísimo y con poca ventilación; típico de vivienda de campo” describió el profesional de la salud. “Al examinarlo noté que tenía sus pulmones comprometidos y que estaba oxigenando bajo. Me imaginaba una gripe común pero no que podía tener coronavirus” se sorprendió el médico al observar el resultado del test rápido de COVID-19 que le practicó en esa habitación ante la atenta mirada de su hijo su mujer y sus nietos.
La casa de Don Pedro: con paredes de adobe y techo de chapa
La primera pregunta que se hizo fue: “¿Cómo va a llegar el virus hasta este lugar tan inhóspito donde las familias casi no tienen contacto con gente de afuera?”. Y hasta el día de hoy es un misterio. “Quedé asombrado porque se trata de un virus que se gestó del otro lado del mundo y terminó acá en el medio de la nada. El recorrido fue inmenso. Era ver el resultado del test y no poder creerlo” admitió el doctor Riquelme.
Don Pedro fue trasladado de inmediato al Hospital Ramón Carrillo de San Martín de Los Andes. “Fue muy triste tener que sacarlo de su casa y meterlo en una ambulancia mientras sus nietitos lloraban. En el fondo toda la familia sabía que iba a terminar mal porque era hipertenso diabético y sufría EPOC” contó. “Me partía el alma porque nadie lo podía acompañar. Ellos incluso tuvieron que aislarse también por prevención en ese lugar donde ya de por sí viven aislados” se lamentó.
Una de las últimas fotos de Don Pedro con sus nietas
Para bajar la ansiedad de sus familiares el médico se encargó de pasar dos partes telefónicos diarios: uno por la mañana y otro por la noche. “Desde el Hospital de Las Coloradas me comunicaba con el Hospital de San Martín de Los Andes para interiorizarme en su estado de salud y contarle a su nieta María que era la encargada de transmitir la información a los demás” recordó Riquelme.
“Todo esto fue posible gracias a la ayuda de los residentes de medicina general y las enfermeras que me hicieron de nexo con Don Pedro y quienes le mostraban las fotos y videos que les enviaba su familia” remarcó el médico quien contó que el anciano festejó sus 96 años en el hospital el 16 de octubre rodeado por sus cuidadores.
Don Pedro falleció el 21 de octubre tres semanas después de haber sido internado. “Él siempre estuvo vigil y despierto. Contaba que extrañaba a sus animales y preguntaba cuándo iba a volver para darles la comida. Y se dejó la boina puesta hasta el último día. Fue un paciente muy querido” afirmó Riquelme quien nunca se imaginó vivir una situación así."
B2,"Me enamoré del hijo del ministro el invierno que
cumplió catorce. No era chino pero tan blanco como María
en el pesebre. Para Navidad recé por este rubio
chico Robert y una nueva nariz americana delgada.
Cuando me enteré de que mis padres habían invitado a
la familia del ministro vino a cenar en Nochebuena lloré.
¿Robert pensaría en nuestra lamentable Navidad china?
¿Pensaría en nuestros ruidosos parientes chinos que carecían de
modales estadounidenses adecuados? ¿Que terrible decepción
sentiría al no ver un pavo asado y dulce
patatas pero comida china?
En Nochebuena vi que mi madre había superado
ella misma en la creación de un menú extraño. Ella estaba tirando de negro
venas del lomo de los langostinos carnosos. La cocina estaba
lleno de espantosos montículos de comida cruda: una roca viscosa
bacalao de ojos saltones que suplicaba que no lo arrojaran a un
sartén de aceite caliente. Tofu que parecían trozos apilados de
esponjas blancas de goma. Un tazón empapando hongos secos de nuevo a
vida. Un plato de calamares con la espalda cruzada con un cuchillo
marcas para que parecieran neumáticos de bicicleta.
luego llegaron: la familia del ministro y todos
mis parientes en un clamor de timbres y navidad arrugada
paquetes. Robert gruñó hola y yo fingí que no estaba
digno de existir.
La cena me sumió más en la desesperación. Mis parientes
lamió los extremos de sus palillos y extendió la mano por
mesa sumergiéndose en la docena de platos de comida.
Robert y su familia esperaron pacientemente a que llegaran los platos.
pasado a ellos.
Mis parientes murmuraban de placer cuando
mi madre sacó todo el pescado al vapor. Robert
hizo una mueca. Entonces mi padre metió sus palillos justo debajo
el ojo de pescado y arrancó la carne blanda. ""Amy tu
favorito "" dijo ofreciéndome la tierna mejilla de pescado. Quería
desaparecer.
Al final de la comida mi padre se reclinó y
eructó ruidosamente agradeciendo a mi madre por su excelente cocina.
""Es una costumbre china educada mostrar que estás satisfecho"".
explicó mi padre a nuestros asombrados invitados. Robert fue
mirando su plato con la cara enrojecida. El ministro
logró reunir un silencioso eructo. Me quedé atónito
silencio por el resto de la noche.
Después de que todos se fueron mi madre me dijo:
""Quieres ser igual que las chicas estadounidenses en el exterior"".
.
. "" .
.
.""


. 


. 
."
B2,"Hola a todos y a todas los seguidores de SpanishPodcast.net. También por supuesto a todos los estudiantes de español que puedan estar escuchando este vídeo. En primer lugar te doy las gracias por escuchar este mensaje en el día de hoy. Estamos en el final del año y es un momento que podemos utilizar para sentirnos más cercanos a otras personas o reencontrarnos con familiares y amigos cuando es posible.
Hoy he querido estar contigo a través de este vídeo para transmitirte nuestros mejores deseos para el nuevo año 2016. Vanesa y yo te deseamos mucho amor paz y alegría de cara a este año que empieza. Que todas tus esperanzas se cumplan y que puedas realizar tus sueños.
Para nosotros 2015 ha sido un año muy interesante. Hemos continuado haciendo crecer nuestro podcast y los contenidos de nuestra web. La respuesta de las personas que nos siguen ha sido muy positiva para nosotros y todas las personas con las que hemos podido hablar a través de nuestro sitio web nos han aportado cosas muy interesantes.
Desde aquí también queremos agradecer el apoyo que nos han dado todas las personas que han colaborado con nosotros gracias a donaciones o a través de nuestro audiolibro. Aunque enviamos un mensaje de agradecimiento individual a todas las personas que nos ayudan queremos que este agradecimiento sea público. Gracias por ayudar a nuestro proyecto que esperamos consideréis como vuestro también.
A principios de 2016 terminaremos nuestro próximo audiolibro. En este audiolibro hablamos sobre el aprendizaje. En él explicamos por qué recomendamos este método para aprender idiomas damos consejos y trucos para mejorar tu memoria explicamos qué puedes hacer para evitar las distracciones y mejorar la concentración. También muchas cosas que te ayudarán no solo con el aprendizaje de idiomas sino con cualquier cosa que quieras aprender. Este audiolibro será gratuito para todas las personas que han realizado una donación o colaboraron con nuestro primer audiolibro.
Por otro lado como ves he cambiado el escenario en el que grabo los vídeos. Como ves estoy delante de una pizarra blanca. Esta pizarra la utilizaremos para algunos vídeos que publicaremos durante el año 2016. Una de las cosas que no hemos podido hacer durante el año 2015 es más vídeos. Nos hubiera gustado pero no hemos tenido suficiente tiempo. Esperamos que esto cambie durante este nuevo año.
Después de decir esto simplemente decirte que pases una gran noche que te diviertas mucho y que intentes entrar en el nuevo año con mucha alegría.
Sabemos que hay personas que nos escuchan desde lugares como: Australia Japón Corea del Sur o Nueva Zelanda. Es posible que cuando veas este vídeo ya estés en 2016. Nosotros lo haremos dentro de poco tiempo.
En mi caso ya tengo preparadas las 12 uvas que tradicionalmente comemos los españoles a las 12 de la noche de hoy. Cuando el reloj marca las 12 de la noche da 12 campanadas (tan tan tan). Por cada campanada comemos una uva. Se supone que esto da suerte y fuerza para cumplir todos los deseos que tengas para el año nuevo.
Ya me despido. Mucha suerte a todos y ¡feliz año nuevo!"
B2,“Cierta tarde Pedro y Juan fueron al templo para participar en el servicio de oración de las tres de la tarde. Mientras se acercaban al templo llevaban cargando a un hombre cojo de nacimiento. Todos los días lo ponían junto a la puerta del templo la que se llama Hermosa para que pidiera limosna a la gente que entraba. Cuando el hombre vio que Pedro y Juan estaban por entrar les pidió dinero. Pedro y Juan lo miraron fijamente y Pedro le dijo: «¡Míranos!». El hombre lisiado los miró ansiosamente esperando recibir un poco de dinero pero Pedro le dijo: «Yo no tengo plata ni oro para ti pero te daré lo que tengo. En el nombre de Jesucristo de Nazaret ¡levántate y camina!». Entonces Pedro tomó al hombre lisiado de la mano derecha y lo ayudó a levantarse. Y mientras lo hacía al instante los pies y los tobillos del hombre fueron sanados y fortalecidos. ¡Se levantó de un salto se puso de pie y comenzó a caminar! Luego entró en el templo con ellos caminando saltando y alabando a Dios. Toda la gente lo vio caminar y lo oyó adorar a Dios. Cuando se dieron cuenta de que él era el mendigo cojo que muchas veces habían visto junto a la puerta Hermosa ¡quedaron totalmente sorprendidos! Llenos de asombro salieron todos corriendo hacia el pórtico de Salomón donde estaba el hombre sujetando fuertemente a Pedro y a Juan. Pedro vio esto como una oportunidad y se dirigió a la multitud: «Pueblo de Israel —dijo— ¿qué hay de sorprendente en esto? ¿Y por qué nos quedan viendo como si hubiéramos hecho caminar a este hombre con nuestro propio poder o nuestra propia rectitud? Pues es el Dios de Abraham de Isaac y de Jacob —el Dios de todos nuestros antepasados— quien dio gloria a su siervo Jesús al hacer este milagro. Es el mismo Jesús a quien ustedes rechazaron y entregaron a Pilato a pesar de que Pilato había decidido ponerlo en libertad. Ustedes rechazaron a ese santo y justo y en su lugar exigieron que soltaran a un asesino. Ustedes mataron al autor de la vida pero Dios lo levantó de los muertos. ¡Y nosotros somos testigos de ese hecho! »Por la fe en el nombre de Jesús este hombre fue sanado y ustedes saben que él antes era un lisiado. La fe en el nombre de Jesús lo ha sanado delante de sus propios ojos. »Amigos yo entiendo que lo que ustedes y sus líderes le hicieron a Jesús fue hecho en ignorancia; pero Dios estaba cumpliendo lo que los profetas predijeron acerca del Mesías que él tenía que sufrir estas cosas. Ahora pues arrepiéntanse de sus pecados y vuelvan a Dios para que sus pecados sean borrados. Entonces de la presencia del Señor vendrán tiempos de refrigerio y él les enviará nuevamente a Jesús el Mesías designado para ustedes. Pues él debe permanecer en el cielo hasta el tiempo de la restauración final de todas las cosas así como Dios lo prometió desde hace mucho mediante sus santos profetas. Moisés dijo: “El SEÑOR Dios de ustedes les levantará un Profeta como yo de entre su propio pueblo. Escuchen con atención todo lo que él les diga”. Luego Moisés dijo: “Cualquiera que no escuche a ese Profeta será totalmente excluido del pueblo de Dios”. »Comenzando con Samuel cada profeta habló acerca de lo que sucede hoy en día. Ustedes son los hijos de esos profetas y están incluidos en el pacto que Dios les prometió a sus antepasados. Pues Dios le dijo a Abraham: “Todas las familias de la tierra serán bendecidas por medio de tus descendientes ”. Cuando Dios levantó a su siervo Jesús lo envió primero a ustedes pueblo de Israel para bendecirlos al hacer que cada uno se aparte de sus caminos pecaminosos».”
B2,"Adorando un retrato
La banda « Héroes españoles » (el Hiena Lola Toro y Ferdi) prepara un golpe para robar el cadáver de Franco que según rumores está en el Pazo de Meirás. Su objetivo es llevarlo a un lugar de culto digno.
Ferdi iba detrás del Hiena mirando su móvil. Llevaba un plano del lugar y le daba indicaciones al Hiena de donde girar o seguir recto en las enormes salas de pasillos de la propiedad. Subieron por unas escaleras y giraron hacia un corredor que acababa en una puerta blindada llena de detalles y ornamentos. Ferdi señaló la puerta.
– Allí es – dijo emocionado en un tono de voz demasiado alto.
– Chsssss. Sigilo – Le recriminó el Hiena. Después se encaminó hacia la puerta con cuidado para no hacer ruido. Pero de pronto oyó un cántico a unos metros. Se giró y vio a Toro allí plantado brazo fascista en alto. Cantaba en voz baja hacia la pared.
– “Volverá a reír la primavera que por cielo tierra y mar se espera… – Levantaba la voz emocionándose – ¡Arriba escuadras a vencer!”
– Pero ¿qué (…) haces? – le recriminó el Hiena dándole un empujón que no le movió ni un milímetro –. ¿Es que está todo el mundo majara en este grupo?
Pese a haberse callado Toro siguió mirando hacia la pared con el brazo en alto. El Hiena alumbró con la linterna y ante él vio que se alzaba erguida soberbia y orgullosa la figura del mismísimo Caudillo.
El Hiena también se cuadró por inercia. Y los dos permanecieron unos segundos inmóviles cuadrados ante el retrato que tenían enfrente.
Ferdi fue a ver qué les motivaba tanto a sus camaradas. Pero la imagen del Generalísimo no causó el mismo efecto en él. Pensó que era increíble que este tipejo con cara de borderline hubiera tenido sometido a un país durante tantos años. Al poco como su capacidad de concentración era bastante reducida giró la vista hacia otro lado de la pared.
– Hostia hay más – dijo
Los demás se giraron. Junto al retrato de Franco había otro de Millán Astray. Más allá pasaban Yagüe Emilio Mola José Sanjurjo y Carrero Blanco entre otros personajes relevantes de la guerra civil y de la dictadura.
Al final del pasillo un cuadro ocupaba un lugar privilegiado en la pared y Toro y el Hiena fueron hacia él y se volvieron a cuadrar al llegar.
– ¿Quién es? – Preguntó Ferdi acercándose a mirar.
– El mismísimo Primo de Rivera – contestó Toro lleno de admiración–. Un fascista como no ha habido.
José Trabajo y Miguel Gallardo El baile de los caídos 2019"
B2,"¡Es viernes! Bienvenido a tu boletín en español de The New York Times con algunas de nuestras mejores lecturas de la semana. Historias con eñes y acentos que no encontrarás en ningún otro lugar. Súbele el volumen.
En las películas (y fuera de ellas) se repite la escena del cantante en la ducha ese momento tan personal en el que alguien suelta la voz mientras sujeta la botella de champú como si fuera un micrófono. Y sonríe. Quizás en estos tiempos de aislamiento pandémico cuando no podemos ir a conciertos ni salir a bailar algunos han dejado de cantar. Pero cuando hay tribulaciones la música no es un derecho al que podamos renunciar.
Lo dice la ciencia: escuchar —o cantar— nuestra música favorita libera dopamina la hormona del placer. De esa manera las primeras notas de la Sonata Kreutzer hacen que algunas personas se sientan tan bien como si se comieran una barra de chocolate. Pero mucho más deliciosa es la historia de George Bridgetower el violinista negro que inspiró a Beethoven para componer esa pieza.
La pandemia acabó con los conciertos en vivo menos con uno. En Halberstadt Alemania nada detuvo la interpretación de una pieza que durará 639 años. El mes pasado ocurrió el primer cambio de sonido en siete años. Nada detiene tampoco a Super Mario Bros. el videojuego que cumplió 35 años. Quizás su tema musical sea la melodía más reconocible para una generación que creció jugando con consolas: “¡Tu-tut-tu ta-ru tu!”.
Kenny Ortega el hombre que coreografió Dirty Dancing y puso a los adolescentes a bailar con High School Musical vuelve con una serie llamada Julie and the Phantoms que empieza a llenar un vacío de representatividad: su protagonista es una latinoestadounidense una chica de California en cuya casa conviven el inglés y el español.
Mientras la pandemia no acaba que siga la música que nos alegra nos pone a bailar o nos da la inyección extra de energía que necesitamos para correr ese último kilómetro. Y no esperemos a encerrarnos en la ducha para cantar. Porque como cantó João Gilberto: en el pecho de los desafinados también late un corazón…
Bienvenidos al mundo de Bad Bunny
Esta semana The New York Times Magazine nos lleva a Puerto Rico para conocer a Benito Antonio Martínez Ocasio el reguetonero que hace lo que le da la gana y que descifró “el mercado gringo” sin hacer la única concesión que parecía inevitable: abandonar su lengua materna. Bad Bunny reflexiona sobre su despertar político mientras pone al mundo a perrear. En español.
(Y si como a Bad Bunny te gustan esos zuecos de espuma llamados Crocs aquí te contamos sobre la colaboración del reguetonero —y fiel usuario de la marca— y la empresa una de las pocas que puede jactarse de que este año le ha ido fenomenal).
...y aquí algo para tu fin de semana
Alma petrolera. Pozos abandonados. Refinerías en silencio. Venezuela el gigante petroestado que marcó las reglas del juego en los años sesenta ha detenido su producción casi por completo debido a los años de mala gestión y despilfarro.
El baile de la gambeta. Parece que la línea de producción de futbolistas argentinos se ha detenido. En las ligas europeas se los ve cada vez menos. ¿Qué pasa? Este reportaje nos explica que no es falta de talento: el mercado cambió. (¿Crees que volverá a ser una exportadora de cracks? Opina aquí).
Hablemos de paz. En ambos bandos de las negociaciones entre el gobierno afgano y los talibanes hay casi una docena de hijos de líderes del conflicto soviético de los años ochenta. Están ahí para acabar con la guerra de sus padres.
Adiós nonino. Ben Smith nuestro columnista de medios nos presenta a John Bresnahan un periodista que escribe sobre lo que otros omiten —el estado de salud de los líderes de la gerontocracia estadounidense— y reflexiona sobre el interés público de reportar sobre un anciano enfermo.
Para no verte más. David Jiménez advierte sobre la realidad ficticia que transmiten las redes como Instagram “como si al taparnos los ojos la parte trágica de la vida dejara de estar ahí. La experiencia muestra que sucede lo contrario: el engaño solo aumenta la indiferencia hacia quienes la sufren”."
B2,"Hoy queremos compartir con vosotros una receta de cocina. Se trata de un plato muy sabroso y original que incluye muchos ingredientes. La última vez os explicamos cómo preparar un gazpacho. Como el gazpacho es un plato de verano hoy compartimos con vosotros un plato más otoñal. Otoñal significa que pertenece al otoño la época del año que va después del verano y antes del invierno. El ingrediente estrella de este plato es la berenjena.
Si nos escucháis a través de algún servicio de podcast como por ejemplo iTunes os recomendamos que accedáis a nuestro sitio web para seguir este episodio. Ya sabéis que allí podéis encontrar la transcripción del audio pero esta vez además es recomendable que veáis las fotografías que hemos puesto para que podáis entenderlo todo mejor. Además visualizar esas fotografías hará que memoricéis mejor cierto vocabulario y expresiones. Si no estáis leyendo el texto en este momento la dirección es spanishpodcast.net/receta-berenjenas. Podéis verlo en la descripción del episodio en vuestro reproductor.
¿Qué necesitas para preparar este plato?
La lista de ingredientes es la siguiente:
Berenjenas. Una berenjena por persona. Una berenjena es un fruto alargado generalmente de color morado. Tiene la piel brillante. Hay algunas especies que son de otro color y son más cortas.Tomates. El tomate es ese fruto de color rojo que tiene la piel lisa y brillante.Carne picada (de ternera). Una ternera es una vaca. Picada significa que se corta en trozos muy pequeños.Aceite de oliva. El aceite de oliva es el aceite que se obtiene de las olivas también llamadas aceitunas.Queso rallado.Sal. La sal es una sustancia blanca que se añade a muchos platos de cocina para aumentar su sabor. También se utiliza para conservar algunas carnes.Cebolla. Una cebolla es esa planta que está formada por capas. Cuando alguien corta cebolla llora.Ajo. El ajo es una planta de color blanco que se suele utilizar para añadir sabor a algunas recetas de cocina.Comino molido. El comino es una hierba que se utiliza para dar sabor. Es un poco difícil explicar cómo es el comino. En inglés el comino molido es “ground cumin” en francés “cumin moulu”. Podéis hacer una búsqueda en Google Imágenes para saber qué es exactamente.Bechamel. La bechamel es una salsa blanca que se hace con harina crema de leche y mantequilla. La podéis hacer vosotros pero también la venden preparada.
¿Cómo se prepara el plato?
La receta puede parecer algo laboriosa pero en realidad es muy sencilla. Lo importante es que tengáis preparados los ingredientes desde el primer momento.
1. Corta las berenjenas por la mitad (a lo largo).
2. Haz cortes en la carne de la berenjena sin llegar a atravesar la piel.
3. Pon aceite de oliva por encima de las berenjenas y un poco de sal.
4. Se meten en el horno hasta que estén tiernas. El tiempo recomendado es de 30 minutos a 160ºC. El aspecto al terminar debe ser parecido a este:
5. Ahora tenemos que hacer una salsa de tomate casera. Para ello vamos a empezar rehogando ajo y cebolla. Rehogar significa que en una sartén ponemos un poco de aceite. Cuando está caliente el aceite se ponen la cebolla y el ajo hasta que se vayan poniendo blandos y dorados.
6. Añadimos el tomate troceado o rallado (sin piel) a la cebolla y el ajo. Dejamos que se haga a fuego lento unos 30 minutos para que se reduzca.
7. Vaciamos las berenjenas con una cuchara con cuidado de no romper la piel. Pon la carne de la berenjena en otro plato la usaremos luego. La carne de la berenjena es su interior el contenido de la berenjena.
8. Se pica con un cuchillo la carne de la berenjena. Picar significa cortar en trozos pequeños. Después añadimos la carne de la berenjena al tomate y ponemos un poco de comino molido. Se deja en el fuego 5 o 6 minutos para que se mezcle con el sabor del tomate.
9. En otra sartén se rehoga un poco de ajo muy picado. Cuando se ponga dorado se añade carne picada no la carne de la berenjena sino la carne de ternera picada. Mézclalo todo y sigue rehogando durante dos minutos aproximadamente."
B2,"Empleo mis últimas fuerzas para llegar al bar de la esquina. Consigo la última mesa a la sombra y pido agua y un helado. Comería hielo pero me parece poco práctico.
Con la boca fría y mi cuerpo templándose a la sombra miro a mi alrededor evaluando el entorno y buscando algo entretenido con lo que acompañar el helado.
Me fijo en una de las mesas más alejadas donde un hombre pone a prueba la resistencia humana al leer bajo el abrasador sol de media tarde. Empiezo a preguntarme qué estará leyendo si no tiene calor si es un superhombre con aire acondicionado incorporado si se ha preparado para soportar crudamente con esa camisa negra que deja entrever los tatuajes del antebrazo. Imperturbable por el calor como si el verano le hubiera pillado por sorpresa en la terraza.
Mi mente comienza a montarse una película imaginando cómo ha sido su día en qué pensaba al sentarse al sol qué se le pasa por la cabeza cuando levanta la mirada y me ve observándole en la distancia mientras lamo lentamente mi helado.
El morbo se apodera de mí y sin dejar de mirarle con fingido disimulo lamo el helado cada vez con más detenimiento. Varias personas a mi alrededor me miran entre la extrañeza y la curiosidad no pierden detalle de cómo mi lengua va consumiendo el helado la gota que cae sobre mi dedo cómo lo llevo a la boca y lo limpio entre mis labios con todo el erotismo que soy capaz de transmitir…
Sólo puedo pensar en lo que mi inesperada excitación desea; comerme a ese hombre como si fuera el helado más refrescante del universo.
El disimulo cada vez me sale peor y veo como el hombre se levanta y entra en el bar. Pienso que le he asustado y no me extraña. ¿Una loca con la mirada fija en mí mientras se come un helado? Yo habría aguantado mucho menos. Pero no sé qué me ha pasado apenas me regía el cerebro con tanto calor.
Continúo comiendo el helado ahora sin tanta motivación al fin y al cabo el público que me interesaba se había marchado apabullado qué le iba a hacer. Aprendería la lección y perfeccionaría mi sutileza erótico-festiva con desconocidos.
Me centro en el pensamiento que me ataca ahora las infinitas posibilidades si la cosa hubiera llegado a más todo aquello que podría estar pasando en universos paralelos y por desgracia no en el mío. Doy vueltas a la idea pero no hace falta que piense mucho. A los pocos minutos una mano se posa sobre mi hombro.
El hombre de la camisa negra se inclina levemente hacia mí y me pregunta si puede acompañarme. Con un gesto le señalo la silla más cercana aunque le habría señalado la dirección a mi casa de haberme orientado.
Se sienta y sin decir nada quita el papel de un helado y comienza a lamerlo como si imitara lo que yo hacía mientras le observaba. Me mira fijamente a los ojos solo desviaba la mirada para repasarme rápidamente siempre con la lengua centrada en su helado lamiéndolo abarcándolo con los labios recogiendo cada gota que escurría por el cucurucho.
En mi mente ya no tenía un helado entre los labios sino que jugaba entre mis muslos sin apartar la mirada. Yo lamía mi helado y sobra decir que tampoco lo visualizaba al hacerlo. Ambos sabíamos que nuestra pasión láctea no era más que una excusa. Un artificio para no saltarnos encima arrasar la mesa y comer aquello que realmente deseábamos.
Terminé mi helado me lamí los labios y me levanté ante su atenta mirada. Extendí el brazo con mi tarjeta entre los dedos y le dije: “Si quieres repetir encuéntrame”.
...
En menos de 5 minutos un mail: “Lo próximo que se derretirá entre mis labios serás tú”. Uf eso sí que es una ola de calor…"
