Level,Text
C2,"¿QUÉ ES EL CAMBIO CLIMÁTICO?
El cambio climático es un reto global que no tiene fronteras y que para combatirlo requiere del trabajo coordinado por parte de todos los países .
Existe un gran desconocimiento de lo que es el cambio climático en realidad bien por exceso de información inexactitud en las fuentes o por desinformación interesada lo que da origen a una serie de falsos mitos sobre el cambio climático. En este espacio abordaremos desde un punto de vista objetivo y científico qué es el cambio climático cuáles son sus causas sus consecuencias y cómo se puede combatir. En definitiva cómo nos afecta el cambio climático.
En primer lugar es necesario aclarar dos conceptos que si bien están estrechamente relacionados con frecuencia se toman de manera errónea como sinónimos: el cambio climático y el calentamiento global. Existe una importante diferencia y es que el calentamiento global es la causa del cambio climático es decir el aumento de la temperatura del planeta provocado por las emisiones a la atmósfera de gases de efecto invernadero derivadas de la actividad del ser humano están provocando variaciones en el clima que de manera natural no se producirían.
La Tierra ya se ha calentado y enfriado en otras ocasiones de forma natural pero lo cierto es que estos ciclos siempre habían sido mucho más lentos necesitando millones de años mientras que ahora y como consecuencia de la actividad humana estamos alcanzando niveles que en otras épocas trajeron consigo extinciones en apenas doscientos años.
Antes de profundizar en el detalle de sus causas y consecuencias te vamos a contar por qué no te importa el cambio climático.
CAUSAS DEL CAMBIO CLIMÁTICO
Empecemos por el principio. El efecto invernadero es un proceso natural que permite a la Tierra mantener las condiciones necesarias para albergar vida: la atmósfera retiene parte del calor del Sol; sin el efecto invernadero la temperatura media del planeta sería de 18 0C bajo cero.
La atmósfera está compuesta por diversos gases que en la proporción adecuada cumplen su cometido. El problema está cuando las actividades del ser humano aumentan la emisión de gases de efecto invernadero a la atmósfera y ésta retiene más calor del necesario provocando que la temperatura media del planeta aumente y se produzca lo que popularmente llamamos calentamiento global.
¿EN QUÉ MOMENTO COMENZÓ A INCIDIR EL HOMBRE EN EL CAMBIO CLIMÁTICO?
Los expertos coinciden en señalar la Revolución Industrial como el punto de inflexión en el que las emisiones de gases de efecto invernadero arrojadas a la atmósfera empezaron a dispararse. Hay que recordar que la Revolución industrial nació de otras muchas pequeñas revoluciones: la agrícola la tecnológica la demográfica de medios de transporte finanzas… que dieron lugar a un nuevo modelo de producción y consumo.
Desde ese momento el crecimiento de la población (en 1750 había menos de 800 millones de habitantes en la Tierra hoy somos más de 7.500 millones) un consumo de recursos cada vez más desmedido el aumento en la demanda y producción de energía obtenidas mayoritariamente a través de combustibles fósiles… han provocado que el planeta haya entrado en lo que parte de la comunidad científica ha denominado el Antropoceno: la nueva era geológica motivada por el impacto del ser humano en la Tierra.
El principal resultado ha sido el aumento de la temperatura global del planeta que desde ese período ha aumentado en 11ºC si bien se estima que al final del presente siglo el termómetro pueda aumentar todavía más aun cumpliéndose los compromisos de reducción de emisiones fijados por los países.

CONSECUENCIAS DEL CAMBIO CLIMÁTICO
¿Cómo nos afecta el cambio climático? Este aumento global de la temperatura trae consecuencias desastrosas que ponen en peligro la supervivencia de la flora y la fauna de la Tierra incluido el ser humano. Entre los impactos del cambio climático destacan el derretimiento de la masa de hielo en los polos que a su vez provoca el aumento del nivel del mar lo que produce inundaciones y amenaza los litorales costeros –incluso pequeños estados insulares están en riesgo de desaparición-.
El cambio climático también aumenta la aparición de fenómenos meteorológicos más violentos sequías incendios la muerte de especies animales y vegetales los desbordamientos de ríos y lagos la aparición de refugiados climáticos y la destrucción de los medios de subsistencia y de los recursos económicos especialmente en países en desarrollo."
C2,"Los ingenieros de datos son responsables de encontrar tendencias en los conjuntos de datos y desarrollar algoritmos para ayudar a que los datos sin procesar sean más útiles para la empresa. Este rol de TI requiere un conjunto significativo de habilidades técnicas que incluyen un profundo conocimiento del diseño de bases de datos SQL y múltiples lenguajes de programación. Pero los ingenieros de datos también necesitan habilidades de comunicación para trabajar en todos los departamentos y comprender lo que los líderes empresariales desean obtener de los grandes conjuntos de datos de la compañía.
Los ingenieros de datos a menudo son responsables de construir algoritmos para ayudar a facilitar el acceso a los datos brutos pero para ello necesitan comprender los objetivos de la empresa o del cliente. Es importante tener objetivos comerciales en línea cuando se trabaja con datos especialmente para empresas que manejan bases de datos y conjuntos de datos grandes y complejos.
Los ingenieros de datos también deben comprender cómo optimizar la recuperación de datos y cómo desarrollar cuadros de mando informes y otras visualizaciones para los interesados. Dependiendo de la organización los ingenieros de datos también pueden ser responsables de comunicar las tendencias de los datos. Las organizaciones más grandes a menudo tienen múltiples analistas de datos o científicos para ayudar a comprender los datos mientras que las empresas más pequeñas pueden confiar en un ingeniero de datos para trabajar en ambos roles."
C2,"Fotograf�a de archivo del jugador David Huertas cuando particip� en la selecci�n de baloncesto de Puerto Rico en 2018. Hoy hace parte del equipo Fuerza Regia de M�xico. EFE/Thais Llorca/Archivo
Monterrey (México) 18 nov (EFE).- El puertorriqueño David Huertas guió este miércoles con 22 puntos la victoria por 86-69 de Fuerza Regia de Monterrey sobre los Aguacateros de Michoacán en la final de la Liga de baloncesto profesional de México para poner la serie 2-1 a su favor.Huertas que contribuyó también con cinco rebotes y dos asistencias ayudó a que los de Monterrey entrenados por el español Francisco Olmos se pusieran a un triunfo del título.El primer cuarto inició parejo pero un par de tiros de Huertas un triple y un doble colocó el partido en favor de Fuerza Regia con una ventaja de cinco puntos con 3.30 minutos en el reloj que encaminó a los de Monterrey a cerrar el cuarto con el marcador 26-16.Para el segundo periodo los regios bajaron el ímpetu y cometieron pérdidas de balón aprovechadas por Michoacán dirigido por el argentino Nicolás Casalánguida que redujo su desventaja y empató el duelo 31-31 con más de la mitad del cuarto por delante.Sin embargo los Aguacateros con seis tiros de campo fallados le devolvió el control del partido a Fuerza Regia que se apoyó en los rebotes y bandejas de Huertas y el estadounidense Joseph Ávila para irse al medio tiempo con ventaja de 42-35.Al inicio del tercer periodo los Aguacateros recortaron la distancia a tres puntos al aprovechar los tiros de castigo que Fuerza Regia les otorgó.Un triple del argentino Cristian Cortés empató el duelo 50-50 sin embargo Fuerza Regia se volvió a despegar con tiros de campo para cerrar 60-57.El último cuarto fue decisivo para los dirigidos por Olmos que con una buena defensa evitaron que Michoacán anotara en los primeros tres minutos tiempo en el que Fuerza Regia puso el duelo 73-57 y ya inalcanzable.La desesperación se apoderó tanto de los Aguacateros que el Jugador Más Valioso del oeste el estadounidense Jerome Meyinsse y Casalánguida cometieron sendas faltas técnicas.Con la ventaja no sólo en el marcador sino en lo mental Huertas continuó su concierto de triples para cerrar el cuarto con tres encestes a distancia.La final se reanudará mañana con el cuarto duelo el último que se disputaría en casa de Fuerza Regia y en el que en caso de ganar alzarían con su tercer cetro en su historia."
C2,"Todo lo que debes saber y cómo podemos acabar con el blanqueamiento de los corales
¿En qué consiste el blanqueamiento de los corales?
El blanqueamiento de los corales ocurre cuando estos pierden sus colores vibrantes y se quedan blancos. Pero eso no es todo. Los corales son brillantes y coloridos debido a unas algas microscópicas llamadas zooxantelas que viven dentro de los corales. Las algas y los corales viven en una relación simbiótica ayudándose mutuamente a sobrevivir. Sin embargo cuando la temperatura del océano cambia -por ejemplo si hace demasiado calor- los corales se estresan y expulsan las algas. A medida que las algas se van el coral se desvanece hasta que parece que ha sido blanqueado. Si la temperatura permanece alta el coral no permitirá que las algas regresen y el coral morirá.
¿Qué es lo que desencadena el blanqueamiento de los corales?
La principal causa del blanqueamiento de los corales es el cambio climático; cuando la temperatura del planeta aumenta el océano se calienta. Y un cambio en la temperatura del agua de tan solo dos grados Fahrenheit puede hacer que el coral expulse las algas. El coral también puede decolorarse por otras razones como mareas extremadamente bajas contaminación o demasiada luz solar.
¿Por qué es preocupante el blanqueamiento de los corales?
El blanqueamiento de los corales es preocupante ya que una vez que estos corales mueren los arrecifes rara vez se recuperan. Los pocos corales que logran sobrevivir luchan por reproducirse sin embargo los ecosistemas de arrecifes -de los que dependen las personas y la vida silvestre- se deterioran.
El blanqueamiento también importa ya que no es un fenómeno aislado. Según la Administración Nacional Oceánica y Atmosférica entre 2014 y 2017 alrededor del 75% de los arrecifes tropicales de coral de todo el mundo fue víctima del estrés debido a temperaturas suficientemente altas capaces de provocar el blanqueamiento. Para el 30% de los arrecifes alrededor del mundo ese estrés por calor fue suficiente para matar a los corales.
LOS IMPACTOS
¿Cómo impacta el blanqueamiento de los corales a la vida silvestre?
Los arrecifes de coral sustentan algunos de los ecosistemas con mayor biodiversidad del planeta. Miles de animales marinos dependen de los arrecifes de coral para sobrevivir incluyendo algunas especies de tortugas marinas peces cangrejos camarones medusas aves marinas estrellas de mar y muchas más. Los arrecifes de coral proporcionan refugio zona para desove y protección ante los depredadores. También contribuyen con otros organismos desde la base de la cadena alimenticia de los océanos. A medida que los ecosistemas de arrecifes colapsan las especies que ya están en riesgo pueden enfrentar la extinción.
¿Cómo impacta el blanqueamiento de los corales a los humanos?
El blanqueamiento de los corales afecta el sustento de vida la seguridad alimentaria y la seguridad de las personas. Los arrecifes de coral son barreras naturales que reducen la fuerza de las olas y de las mareas de las tormentas ayudando a que las comunidades costeras se mantengan más seguras. Sin los corales dependemos entonces de los costosos muros marinos construidos por el hombre que a su vez son menos efectivos y más dañinos para el medio ambiente. Los corales blanqueados también agudizan la crisis de la sobrepesca ya que eliminan importantes vínculos de la cadena alimenticia y privan a algunas especies de peces y crustáceos de lugares para desovar y desarrollarse. Cualquier persona que dependa de estos animales como principal fuente de ingresos o de proteínas estará en problemas. Por último el turismo que se crea alrededor de los arrecifes genera miles de millones de dólares cada año y sustenta miles de empleos. Los arrecifes de coral blanqueados carentes de increíbles especies marinas ponen en riesgo a todo.
TÚ PUEDES AYUDAR
Todos tenemos un papel importante en la protección de los arrecifes de coral
No estamos condenados a que todos los corales se pierdan debido al blanqueamiento sin embargo debemos actuar hoy mismo si queremos proteger los corales para las futuras generaciones. Pequeñas acciones diarias pueden ayudar a reducir la pérdida de los arrecifes de coral por ejemplo reduciendo el escurrimiento de fertilizantes o de aguas pluviales o evitando el uso de herbicidas y pesticidas. Aunque si realmente queremos resolver el problema del blanqueamiento de los corales debemos abordar el cambio climático. Eso significa una acción global integral e inmediata para reducir las emisiones algo que WWF está decidido a lograr. Estamos trabajando para detener la deforestación; ayudar a las empresas los consumidores y las ciudades a hacer la transición hacia energías renovables; y guiar a los gobiernos hacia políticas climáticamente inteligentes. También hay algo que tú debes hacer. Juntos podemos actuar hoy mismo para evitar el blanqueamiento de los arrecifes de coral de todo el mundo antes de que sea demasiado tarde."
C2,"La mujer en la etapa franquista
Durante la dictadura franquista la mujer dejó de tener los derechos que la Constitución de 1931 le había otorgado como la igualdad con respecto al hombre y el derecho a voto. Con el Régimen la mujer pasó a asumir el papel de madre y esposa. Muchas de ellas murieron por ser republicanas unas por ejercer la militancia o la práctica política y otras por ser parientes de hombres de izquierdas. Y muchas fueron condenadas al ser delatadas por conocidos o incluso parientes temerosos de las represalias por conocerlas. Las mujeres republicanas fueron llamadas las nuevas Eva que parirían hijos enemigos de España y por ello les rapaban la cabeza y les daban aceite de ricino para pasearlas después por las calles con el fin de humillarlas.
Además de todo esto las mujeres casadas no tenían el acceso al mercado laboral. Con el Fuero del Trabajo promulgado en 1938 el Estado reguló el trabajo a domicilio sólo podían trabajar las mujeres solteras o viudas además si se casaban debían firmar su despido voluntario un mes antes del enlace según lo dictaba la Ley de Reglamentaciones Laborales de 1942 y para acceder a él dos años después la Ley de Contratos de Trabajo decía que debían contar con la autorización del marido. Además los sueldos eran más bajos. Por todo esto era difícil sacar adelante el hogar y aunque existía la cartilla de racionamiento para los productos de consumo básico el hambre seguía apretando no era suficiente la cantidad que recibían para alimentar a toda la familia y muchas recurrieron al estraperlo cambiando productos manufacturados por ellas mismas por alimentos.
La familia era una jerarquía en la que la mujer estaba supeditada al varón y los hijos a los padres. La mujer era la que se llevaba la peor parte pues su labor era la de satisfacer a su marido debía estar guapa para él complacerle en todo. La revista de la Sección Femenina liderada por Pilar Primo de Rivera enseñaba a las mujeres a comportarse siempre supeditadas al hombre sin derechos sin opiniones solo sumisión. Por supuesto que el adulterio estaba castigado por el Código Penal.
En 1937 se creó el Servicio Social de la Mujer liderado por Mercedes Sanz Bachiller y Javier Martínez de Bedoya para conseguir mano de obra femenina gratuita y era obligatoria para mujeres de edades comprendidas entre los 17 y los 35 años de edad eso sí que estuvieran solteras y trabajarían en hospitales comedores… En 1941 se creó el Patronato de Protección de la Mujer en el que había muchos eclesiásticos para atraer a la mujer hacia la Iglesia y apartarla de los vicios. Las mujeres de clase media y alta trabajaban en la Acción Católica asistiendo a los desfavorecidos de la clase obrera y visitando a los vencidos en la guerra.
La situación laboral de la mujer mejoró en 1959 con el Plan de Estabilización en 1961 con la Ley sobre Derechos Políticos profesionales y Laborales de la Mujer que acababa con la discriminación salarial y de acceso al trabajo aunque continuaba en vigor la necesidad de la autorización del marido. Esta obligación se mantuvo hasta 1976 cuando entró en vigor la Ley de Relaciones Laborales. También fue importante en 1963 el Plan de Desarrollo ya que se necesitaba más mano de obra y se recurrió a la mujer para ello."
C2,Inicio
C2,"La explotación política de la raza excluye una administración económica competente
Por Shawn Hagedorn
La crisis de Covid ofrece abundantes ejemplos internacionales de ciencia politizada. Aquí en Sudáfrica los cálculos matemáticos sencillos necesarios para evitar una crisis de deuda soberana han sido víctimas de la desigualdad racial que se ha convertido en un arma política. No tenemos más remedio que inyectar mucha más objetividad en nuestros debates económicos.
La respuesta del ANC a la pandemia actual se hace eco de la respuesta inicial del partido al sida. La pandemia del SIDA sólo se volvió ""manejable"" en Sudáfrica cuando la ciencia prevaleció sobre la política. Antes de esa transición un gran número de sudafricanos sufrieron y murieron innecesariamente. Las políticas económicas políticamente oportunistas de nuestro partido gobernante ahora condenan a la mayoría de los jóvenes sudafricanos a la indigencia de por vida. Mientras tanto se está erradicando la pobreza en todas las demás regiones.
El dominio electoral del ANC se debe a su éxito en el uso de la injusticia racial tanto para marcarse a sí mismo como para enmarcar nuestros diversos desafíos económicos. Esto devasta al mismo tiempo la responsabilidad y las perspectivas de crecimiento. Con una crisis de deuda soberana que se avecina esta gestión narrativa de inspiración política debe dar paso a centrarse en el desempleo la pobreza y el crecimiento. Deberíamos empezar por comprender las implicaciones de que los hogares no acumulen riqueza.
Las personas más vulnerables al coronavirus son las personas mayores con diversas comorbilidades. Las economías vulnerables tienen una alta prevalencia de hogares con escasos activos o un endeudamiento excesivo mientras que su fuerza laboral está poco calificada y tiene una integración menor en la economía global. Las políticas de SA anteriores a Covid hicieron que nuestra economía fuera profundamente vulnerable y las decisiones políticas posteriores reflejan que el partido gobernante prioriza aún más sus intereses por encima de los de la nación.
Los científicos médicos utilizan herramientas probadas por el tiempo para evaluar vulnerabilidades y diseñar soluciones. Las preguntas candentes coexisten con herramientas probadas. Lo mismo ocurre con el desarrollo económico. Herramientas y relaciones indiscutibles explican cómo más de mil millones de personas han escapado de la pobreza en las últimas décadas. También muestran que políticas como la nuestra provocan pobreza y trampas de deuda.
Tres factores hacen que Sudáfrica sea muy vulnerable a la politización de la “desigualdad racial”. Primero la mayoría de los sudafricanos son pobres y dependen del estado para pagos mensuales vitales. Esto combinado con los depósitos de recursos hace que nuestras protecciones constitucionales sean innatamente susceptibles a las políticas de patrocinio.
En segundo lugar el denominador común entre los variados socios de alineación del ANC y los partidarios de base es que la redistribución atrae a todos. En tercer lugar la transición de los noventa desde la opresión de la mayoría provocó un credo de unidad que presumía mucha redistribución y esto quedó impreso en nuestra identidad nacional.
Varios supuestos remedios para nuestra angustiada economía son demasiado optimistas. El FMI no va a “rescatar” a SA. Más bien hay muchas probabilidades de que el financiador internacional de última instancia negocie una reestructuración sustancial de nuestras deudas gubernamentales. “Requerirán” la adopción de políticas favorables al crecimiento comercialmente sensatas.
También se espera que el ANC no obtenga la mayoría en 2024. Hay muchos escenarios plausibles pero un resultado probable es que el FMI al presionar al ANC para que adopte políticas menos centradas en la redistribución beneficiará a la extrema izquierda electoralmente y que el ANC convertirse en el partido dominante en una coalición de izquierda post 2024. Los compromisos anteriores sufrirán bajo ese régimen. Las perspectivas de SA de una reestructuración única del FMI son inciertas.
El destino del país no está sellado. Debemos utilizar herramientas objetivas para superar la explotación política de la raza que se utiliza para bloquear evaluaciones objetivas. La presión para que esto suceda dentro del ANC proviene de Tito Mboweni ya que se ve obligado a modelar números consistentes con sus políticas y luego interactuar con las agencias de calificación crediticia y el FMI. Pero los éxitos electorales del ANC y sus políticas económicas inviables están profundamente entrelazados mientras el partido está profundamente dividido en facciones.
Las agencias de calificación crediticia y los costos de los préstamos muestran que los vigilantes del mercado de bonos no tienen fe en la administración económica del ANC. Pero ni las agencias de calificación crediticia ni el FMI van a aceptar el uso de la desigualdad racial por parte del ANC para enmarcar nuestros debates económicos. Si los esfuerzos nacionales no pueden trascender las posturas políticas se esperará demasiado de los actores internacionales.
El fiscal del distrito y al menos un grupo de expertos líder quieren rechazar la política de desigualdad racial. Sus argumentos ahora deben respaldarse mostrando cómo nuestro sector doméstico está demasiado afectado financieramente como para impulsar un crecimiento económico notable. Se puede demostrar matemáticamente que el último plan de la ANC para . .   ."
C2,"El caso de Bombita en la galardonada película Relatos Salvajes nos brinda un ejemplo perfecto aún cuando quizás un poco exagerado de como la falta de empatía de comprensión y de sensibilidad pueden generar reacciones y consecuencias impensadas e indeseables.
Bombita--interpretado por Ricardo Darín--es un ingeniero padre de familia un hombre tranquilo y respetuoso. Un determinado día mientras estaba buscando la torta para llevar al cumpleaños de su hija su auto fue remolcado por estar supuestamente mal estacionado. A raíz de esto llegó tarde con la torta al cumpleaños de su hija y su mujer cansada de que su marido continuamente la defraude le pidió el divorcio.
El mismo día del acarreo Bombita concurrió a la Oficina del Acarreo para que le liberaran al auto y planteó sin éxito que no debía pagar el costo del acarreo porque el cordón de la vereda donde estacionó estaba despintado y no tenía forma de saber que allí no se podía estacionar. Al día siguiente frustrado y ya con la noticia del divorcio concurrió al Gobierno de la Ciudad para evitar tener que pagar la multa. En las dos situaciones los empleados que lo atendieron escucharon su relato en modo “automático” y justificaron el acarreo con argumentaciones frías y formales tales como que aún cuando el cordón podía no estar marcado en amarillo todos deberían conocer la ley. Frustrado impotente dolido y sintiendo una injusticia muy grande Bombita termina reaccionando violentamente ante el empleado del Gobierno de la Ciudad y luego con el correr de la película tiene una reacción todavía peor contra quienes acarrean los automóviles mal estacionados..."
C2,"Hay que hacer hincapié en que cuyo se emplea únicamente como genitivo; es decir cuando la relación entre la cosa representada por el nombre a que precede y la representada por el antecedente de cuyo es de posesión o pertenencia; pero no cuando es cualquier otra origen procedencia causa materia etc. aunque se exprese también con la preposición de. Son correctas las expresiones ‘mi amigo a cuya hermana conoces; una decisión cuyo motivo desconozco’ o ‘el acero cuya producción ha aumentado’. No lo son ‘Madrid cuyos viajeros van en este tren el fútbol cuya conversación me aburre el jefe cuya dependencia te pesa tanto’ o ‘el cemento cuyas obras son tan sólidas’. Tampoco es correcto el empleo de cuyo por el cual en frases como ‘le ofrecieron la presidencia cuya oferta rechazó’ o ‘contrajo una enfermedad cuya enfermedad aún le dura’. Hay sin embargo que hacer notar que se encuentran ejemplos de este empleo en escritores antiguos: ‘Acudieron luego unos a quitarle las ataduras otros a traer conservas... con cuyos remedios volvió en sí’ (Cervantes Persiles). O ‘no convenía para la quietud de aquel reino que residiese la potestad absoluta en persona de tan altos pensamientos. De cuyo principio resultaron...’ (Solís).
En general cuyo sigue a la oración en que está su antecedente. Pero si no hay peligro de anfibología no hay inconveniente en intercalar otras oraciones dependientes de aquélla: ‘Los inconvenientes que resultan de restringir excesivamente las importaciones a cuyo remedio tiende la presente disposición’."
C2,"Learn Spanish while you learn about olive oil. This is one of the most important products in Spain. It is one of the foods we export the most and also one of the ones we use the most in Spanish gastronomy. Transcrip available.
Uno de los ingredientes que no puede faltar en la cocina española y en otros países mediterráneos como Italia o Grecia es el uso del aceite de oliva. A su vez está considerado como uno de los componentes principales de la dieta mediterránea que está compuesta principalmente por alimentos vegetales hortalizas frutas cereales legumbres y pescado.
El aceite de oliva es el que se obtiene del prensado de las aceitunas de los olivos. Un olivo es un árbol que vive muchos años de tronco muy grueso que puede llegar a alcanzar los 15 metros de altura aunque por lo general no suele superar los 5 metros.
El olivo es bien conocido desde la antigüedad pero se desconoce cuál fue su origen. A lo largo de la historia ha estado relacionado con los territorios de la ribera del mar Mediterráneo y ha favorecido el intercambio cultural de tradiciones entre las naciones vecinas.
Se piensa que 4.000 años a. de C. (antes de Cristo) en Oriente Próximo ya eran utilizadas las aceitunas para obtener aceite e igualmente eran empleadas para alimentarse como medicamento para aplicar sobre el cuerpo o como método de alimentación de lámparas. Los primeros cultivos se desarrollaron en Palestina Egipto y Grecia y poco a poco se fueron mejorando las técnicas de la extracción del aceite hasta llegar a nuestros días.
Para que un aceite de oliva sea puro tiene que proceder únicamente de la extracción directa de las aceitunas de un olivo es decir tiene que ser el zumo completamente natural obtenido de las aceitunas que conserva su sabor aroma y vitaminas.
En el mercado se pueden encontrar distintos tipos de aceite de oliva:
El aceite de oliva virgen extra es el que tiene la máxima calidad. Está elaborado con las aceitunas recogidas en perfecto estado del olivo y al que no se le ha añadido ningún aditivo químico. Su acidez no puede sobrepasar los 08º (grados). Este aceite es ideal para consumirlo en crudo.El aceite de oliva virgen también es obtenido directamente de las aceitunas del olivo y no se le ha añadido ningún tipo de aditivo químico pero en este caso puede tener algún defecto casi imperceptible al ojo humano. Su grado de acidez no puede sobrepasar de los 2º (grados) y se suele utilizar para consumirlo crudo o para freír.El aceite de oliva normal es el que contiene una mezcla de aceite de oliva virgen y de aceite de oliva que ha sido refinado porque no llegaba a tener el nivel de calidad exigido en los anteriores tipos. En este caso ya se llevan procesos químicos para fabricarlo. Éste es el aceite que más se consume en nuestro país y el que normalmente se compra en los supermercados. El grado de acidez no puede ser mayor al 1% (por ciento).Hay otro tipo de aceite de oliva de calidad inferior llamado aceite de orujo de oliva que se elabora con la grasa de los restos de la extracción del aceite puro de oliva y con los residuos de los huesos y pieles de las aceitunas. El precio de este último tipo de aceite es muy inferior al de los anteriores y representa en torno al 15% del total del aceite de oliva que se produce en España. Su acidez tampoco es superior al 1%.
El aceite de oliva aporta grandes ventajas para la salud. Su particular perfume y sabor hacen que sea apreciado como un ingrediente gastronómico con altas propiedades beneficiosas para el organismo. Consumir este alimento de forma periódica ayuda a prevenir enfermedades cardiovasculares favorece la función digestiva protege contra el envejecimiento celular aumenta la longevidad y reduce los niveles de colesterol malo.
El aceite de oliva puede ser utilizado en crudo para añadirlo a ensaladas salsas o verduras como por ejemplo al gazpacho. Igualmente es muy usado para mojarlo en tostadas o en rebanadas de pan. En frituras y asados este aceite no produce reacciones tóxicas y permite mantener los jugos de los géneros aportando a su vez un sabor y olor característicos.
Por otra parte además de ser utilizado para las elaboraciones gastronómicas también es empleado para la protección de la piel cuidado del cabello y limpieza. La industria cosmética lleva muchos años fabricando cremas hidratantes jabones champús limpiadores e incluso maquillajes con él.
Algunos otros usos que tiene el producto pueden ser: para eliminar el malestar de la garganta para reducir los ronquidos mientras se duerme como base para el afeitado para quitar manchas de grasa de origen industrial o como lubricante natural para la madera.
En definitiva el aceite de oliva es uno de los símbolos más importantes de nuestra cultura desde hace miles de años. Afortunadamente y gracias a las exportaciones es posible que si queréis probarlo lo podáis encontrar en algún supermercado grande de vuestra ciudad más cercana. Nos vemos en el próximo episodio.
Hasta pronto."
