Level,Text
A1,Calendario de Adviento ¿Qué es el calendario de Adviento? Es un símbolo de la estación de Adviento. Celebramos este período en diciembre cerca de la Navidad. Es un calendario de «cuenta atrás» desde el 1 de diciembre hasta el 24 de diciembre. Los adultos compran este calendario para los niños porque tienen chocolates y son deliciosos. A mí no me gusta el chocolate entonces yo suelo crear mi calendario con decoraciones de colores por ejemplo un árbol un Papá Noel una vela o un reno. Quiero ser muy original así que tengo que pensar en ideas nuevas para sorprender a mi familia y amigos. ¡Feliz tiempo de Adviento!
A1,Cines de verano al aire libre En España en verano instalan cines al aire libre en las ciudades y los pueblos. En verano hace calor durante el día hay personas de vacaciones y también gente con tiempo libre. Por la noche hace más fresco y las personas van a estos cines para ver películas antiguas y pasar una noche muy agradable con la familia o los amigos. Esta noche mis amigos y yo vamos a ver La Pantera Rosa en el cine de verano de Laredo. La película empieza a las diez y cuarto y termina a las doce y media. Laredo es una ciudad costera cerca de Santander. El cine está en el paseo marítimo al lado de la plaza de los Tres Pescadores enfrente de la playa La Salvé. Tiene una pantalla gigante para proyectar películas. Las vistas del cine son maravillosas porque puedes ver la playa el mar y La Puebla Vieja de Laredo. ¡Es increíble! Esta noche tenemos que llegar quince minutos antes para coger sitio en el cine porque no hay demasiados asientos. Es estresante pero pienso que vale la pena. La entrada es gratuita. Nosotros vamos a llevar palomitas y unas bebidas. ¡Es un plan muy barato y divertido!
A1,Consultorio de libros Hoy tengo una cita en el consultorio de libros. No necesito salir de casa la consulta es virtual. En este consultorio en vez de médicos hay escritores hispanos ¡y son famosos! Yo voy a pedir una cita con Rosa Montero ella va a preguntar por ejemplo: ¿Qué libros te gustan? ¿Tienes estrés? ¿Necesitas emociones en tu vida? Con estas preguntas ella va a saber mi estado de ánimo y va a recetar un libro para mí. Con este libro voy a pasar la cuarentena. A veces un libro es preferible a una medicina los libros pueden curar el alma. Además si estás contento tu cuerpo está más saludable. Para pedir una cita o tener más información sobre el consultorio de libros puedes ir a la web www.terecetounlibro.org
A1,E-learning El e-learning es un método para enseñar y aprender usando internet. Últimamente este método tiene mucho éxito y es muy ventajoso. Por ejemplo puedes hacer un curso desde tu sofá en casa y tu profesor puede estar en un país diferente. Ahorras en transporte a la escuela la comida fuera de casa y también en la matrícula del curso pues este tipo de formación es económica. El centro de este método es el alumno y los profesores enseñan con herramientas diversas: vídeos textos aplicaciones etc. Además el intercambio de material y la comunicación entre los profesores y los alumnos es rápida y ágil mediante foros chats emails y videoconferencias. Y los contenidos siempre son actuales. Finalmente puedo añadir que el e-learning es un método educativo con un horario y un calendario muy flexibles.
A1,"Las noches del hipódromo En verano en Madrid hay una oferta grande de ocio. Dentro de esta oferta están ""las noches del hipódromo"". A mí me gusta mucho este plan y voy con mis amigos los jueves por la noche desde el mes de junio hasta septiembre. El hipódromo de Madrid está en las afueras de la ciudad sobre el monte de La Zarzuela. Por esta razón tiene unas vistas maravillosas de los rascacielos de Madrid. En verano en el hipódromo puedes ir a las carreras por la noche porque este hipódromo también ofrece carreras nocturnas. No obstante también puedes ir al hipódromo a cenar a ver conciertos o a divertirte tomando copas y bailando. El ambiente es muy exclusivo y estás al aire libre disfrutando de la noche. ¿Quieres venir?"
A1,Mafalda y sus amigos ¡Hola! Me llamo Mafalda. Tengo seis años y vivo en Buenos Aires con mis padres y mi hermano pequeño Guille. No soy muy alta y tengo el pelo negro. Me gusta escuchar a Los Beatles pero odio tomar sopa. ¡Es asquerosa! ¡Tengo muchos amigos! Por ejemplo Felipe. Él es simpático tiene el pelo claro y liso y también le gustan Los Beatles. Sin embargo es perezoso tímido y despistado ¡siempre está agobiado con las tareas de la escuela! También tengo un amigo que se llama Manolito. Tiene el pelo corto está un poco gordo y le gusta mucho el dinero. Quiere tener una cadena de supermercados para ser rico. ¡Yo creo que sueña demasiado! Otra amiga es Susanita. Tiene seis años y el pelo rubio. Le gusta mucho hablar y solemos jugar al juego de las mamás y al juego de tomar el té. Ella discute mucho con Manolito porque tienen opiniones diferentes. Pienso que Susanita es muy materialista pero me gusta pasar tiempo con ella. Miguelito es rubio. Su pelo tiene la forma de una lechuga. Tiene cinco años y aunque es inocente también es un poco egoísta. Es directo y sincero con las personas. Otra chica es mi amiga Libertad una niña liberal. Es rubia y muy baja suele llevar un suéter negro y zapatos blancos. Libertad y yo somos similares porque somos muy idealistas y nos gusta la política. Finalmente Guille es mi hermano pequeño. Es bastante travieso tiene el pelo largo y nunca se peina. Además le gusta pintar en la pared y comer tierra de las macetas. Puedes ver claramente que el niño tiene gustos raros. ¿Qué piensas de mi pandilla?
A1,Una vida nueva Esta es la historia de mi amiga Ángela. Vive con su novio Ricardo en un piso pequeño en Toledo una ciudad al sur de Madrid. Ángela no es feliz y necesita cambiar su vida. Quiere buscar un trabajo diferente porque debe aprender cosas nuevas. Sin embargo Ricardo no acepta la idea... y discuten muy a menudo. Ella es enfermera y trabaja en una clínica pero quiere trabajar en un hospital grande. Ricardo no tiene trabajo y no quiere trabajar. Ángela está muy enfadada pero un día recibe una llamada de Madrid. Es de un hospital muy grande y famoso. ¡Ellos necesitan enfermeras urgentemente! Ángela hace las maletas y va a vivir a Madrid para empezar una vida nueva sola.
A1,Una vida nueva Ángela pasa unos días tristes en Madrid. Es normal porque no tiene amigos. Vive en un piso muy bonito aunque cuesta bastante dinero. Adora su trabajo pero tiene que trabajar horas extra. Sin embargo sus compañeras son muy amables. Este fin de semana van a ir con Ángela al centro para ver monumentos. ¡Va a ser interesante! Después de visitar monumentos van a cenar en un restaurante local y van a comer platos típicos de Madrid. Ángela está más contenta ahora. Llama a su novio para contar sus aventuras pero él no responde. ¡Es muy raro! Ángela habla con sus padres y decide olvidar a su novio.
A1,Una vida nueva Hoy es sábado y Ángela tiene el día libre. Por la mañana visita el Museo del Prado. ¡Hay muchas obras de arte interesantes! Por la tarde toma unas tapas con sus compañeras de trabajo. Van a un bar cerca de la Puerta del Sol. En el bar hay un camarero muy guapo y él habla mucho con Ángela. Se llama Roberto y es bastante alto. Tiene el pelo castaño oscuro y los ojos verdes. ¡No tiene novia! Cuando las chicas terminan sus bebidas Roberto pide el número de teléfono a Ángela. De camino a casa Ángela recibe un mensaje de él para ir al cine mañana domingo. Ángela está bastante nerviosa y por eso no contesta al mensaje. ¡Ahora no necesita preocupaciones sentimentales!
A1,Una vida nueva Hoy es un día complicado en el hospital y Ángela tiene mucho trabajo. Hay muchas personas enfermas con gripe y necesitan medicinas. De repente un paciente nuevo llega a la sala de espera. Espera durante 20 minutos y finalmente entra a la sala de Ángela. ¡Es el chico del bar Roberto! Ángela está muy sorprendida. Él también tiene gripe y Ángela pide una receta al médico. Hablan solo durante 5 minutos pero Ángela siente mariposas porque es muy simpático. Roberto sale del hospital y va a su casa a descansar. Aunque está enfermo está muy contento. Tiene que pensar un plan para conquistar a Ángela...
A1,Una vida nueva Hoy es viernes y Ángela no tiene que trabajar. Se despierta tarde porque está cansada y desayuna un café. Mientras está desayunando enciende la radio para escuchar su programa favorito. De repente ella escucha estas palabras: «Quiero dedicar esta canción a mi enfermera favorita Ángela. ¿Podemos tener una cita esta tarde? Un beso Roberto.» ¡Ángela no puede hablar! Está muy sorprendida. Escucha la canción romántica y después de desayunar decide comprar un vestido nuevo para ir a la cita con Roberto. A las cinco de la tarde entra en el bar de Roberto y este mira a Ángela con una sonrisa.
